trackid,name_track,artist_c,year,month,day,spotify_CHA,stream_int,data_lancamento,name_artist_,qtd_music_solo,quartile_stream,total_playlist,categoria,track_id,bpm,key,mode,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__
1832626,Running Up That Hill A Deal With God,1,1985,9,16,0,1024858327,16/09/1985,Kate Bush,1,4,22604,alto,1832626,108,A#,Minor,63,20,55,72,0,6,6
8965193,Everybody Wants To Rule The World,1,1985,2,17,25,1205951614,17/02/1985,Tears For Fears,1,4,44507,alto,8965193,112,G,Major,64,54,81,36,0,11,6
1024668,Master of Puppets Remastered,1,1986,3,3,0,704171068,03/03/1986,Metallica,1,4,6598,alto,1024668,105,E,Minor,54,59,83,0,44,20,4
6593931,Driving Home for Christmas  2019 Remaster,1,1986,1,1,0,429504768,01/01/1986,Chris Rea,1,3,944,baixo,6593931,180,A,Major,51,87,58,36,0,18,4
7080917,Sweet Child O Mine,1,1987,1,1,1,1553497987,01/01/1987,Guns N Roses,1,4,48179,alto,7080917,125,F#,Major,45,67,90,9,11,10,5
8217918,Something In The Way  Remastered 2021,1,1991,9,24,0,368646862,24/09/1991,Nirvana,2,3,10756,baixo,8217918,106,G#,Major,44,8,20,74,42,11,3
5615333,Smells Like Teen Spirit  Remastered 2021,1,1991,9,10,9,1690192927,10/09/1991,Nirvana,2,4,62623,alto,5615333,117,C#,Major,52,73,91,0,0,11,7
6316146,Creep,1,1992,9,21,7,1271293243,21/09/1992,Radiohead,1,4,43677,alto,6316146,92,G,Major,53,12,34,1,0,12,4
4490744,All I Want for Christmas Is You,1,1994,10,28,0,1449779435,28/10/1994,Mariah Carey,1,4,28134,alto,4490744,150,G,Major,34,33,63,16,0,7,4
2828618,California Love  Original Version Explicit,3,1995,12,28,0,579395142,28/12/1995,Dr Dre 2Pac Roger,1,3,20564,baixo,2828618,92,G,Major,77,76,84,3,0,38,4
5939675,Gangstas Paradise,2,1995,7,11,17,1357608774,11/07/1995,Coolio LV,1,4,11031,alto,5939675,80,G#,Major,63,40,61,9,0,56,6
2102834,Sigue,2,1996,11,24,0,106933107,24/11/1996,Ed Sheeran J Balvin,1,1,1476,baixo,2102834,88,G,Major,89,59,64,5,0,19,7
6161550,Cupid  Twin Ver FIFTY FIFTY  Spe,1,1997,1,1,2,103762518,01/01/1997,sped up 8282,1,1,478,baixo,6161550,144,F,Major,74,75,73,42,0,9,4
8262886,Iris,1,1998,3,31,9,1284942608,31/03/1998,The Goo Goo Dolls,1,4,13820,alto,8262886,156,B,Minor,32,49,72,0,0,9,4
3333614,The Next Episode,2,1999,1,1,0,843309044,01/01/1999,Dr Dre Snoop Dogg,2,4,37355,alto,3333614,95,D#,Minor,92,31,89,3,0,8,25
4527090,Yellow,1,1999,1,1,43,1755214421,01/01/1999,Chris Molitor,1,4,35607,alto,4527090,173,B,Major,43,28,66,0,0,23,3
3363172,Forgot About Dre,2,1999,1,1,0,675039469,01/01/1999,Eminem Dr Dre,2,4,20819,alto,3363172,134,G#,Major,93,61,74,9,0,17,8
2285737,Still DRE,2,1999,1,1,0,1210599487,01/01/1999,Dr Dre Snoop Dogg,2,4,40698,alto,2285737,93,B,Major,81,53,78,18,0,6,24
5694303,Stan,2,1999,11,21,0,918915401,21/11/1999,Eminem Dido,1,4,21378,alto,5694303,80,F#,Minor,78,53,74,4,0,45,21
7699876,My Only Wish This Year,1,2000,11,7,0,261116938,07/11/2000,Britney Spears,1,2,7353,baixo,7699876,147,,Major,67,69,72,17,0,19,3
2059327,Sparks,1,2000,7,10,4,624101957,10/07/2000,Coldplay,3,3,11655,baixo,2059327,103,C#,Major,37,17,27,75,5,10,3
2670198,The Real Slim Shady,1,2000,1,1,27,1424589568,01/01/2000,Eminem,4,4,24115,alto,2670198,104,F,Minor,95,78,66,3,0,4,6
4552573,In The End,1,2000,10,24,6,1624165576,24/10/2000,Linkin Park,2,4,31936,alto,4552573,105,D#,Minor,55,40,90,1,0,32,6
1486311,Till I Collapse,2,2002,5,26,0,1695712020,26/05/2002,Eminem Nate Dogg,1,4,25516,alto,1486311,171,C#,Major,55,10,85,7,0,8,20
4238748,Superman,2,2002,5,26,14,655466831,26/05/2002,Eminem Dina Rae,1,3,8638,baixo,4238748,130,E,Minor,80,64,76,2,0,20,6
7890756,The Scientist,1,2002,8,5,6,1608164312,05/08/2002,Coldplay,3,4,38943,alto,7890756,146,F,Major,56,21,44,73,0,11,2
4918126,In Da Club,1,2002,1,1,7,1202722675,01/01/2002,50 Cent,1,4,35883,alto,4918126,90,F#,Minor,90,79,71,26,0,7,37
6766942,Lose Yourself  Soundtrack Version,1,2002,1,1,21,1829992958,01/01/2002,Eminem,4,4,38316,alto,6766942,171,D,Major,70,6,73,1,0,36,26
1663974,Without Me,1,2002,1,1,43,1687664027,01/01/2002,Eminem,4,4,25068,alto,1663974,112,G,Major,92,67,66,0,0,36,9
1512850,Mr Brightside,1,2003,9,23,15,1806617704,23/09/2003,The Killers,1,4,57348,alto,1512850,148,C#,Major,35,24,93,0,0,10,8
3049716,Numb,1,2003,3,24,5,1361425037,24/03/2003,Linkin Park,2,4,27491,alto,3049716,110,A,Major,50,24,86,0,0,64,4
7806612,Gasolina,1,2004,7,13,18,657723613,13/07/2004,Daddy Yankee,2,3,7008,baixo,7806612,96,,Major,86,74,80,33,0,8,6
2394886,Mockingbird,1,2004,1,1,61,1241559043,01/01/2004,Eminem,4,4,15428,alto,2394886,84,E,Minor,62,24,67,21,0,13,28
3412305,Somewhere Only We Know,1,2004,1,1,16,1089402494,01/01/2004,Keane,1,4,25361,alto,3412305,172,A,Major,45,33,59,6,0,8,3
1840761,Yo Voy feat Daddy Yankee,1,2004,5,4,2,527033089,04/05/2004,Zion  Lennox,1,3,2972,baixo,1840761,95,A#,Major,81,56,70,4,0,5,24
2616615,You Make It Feel Like Christmas feat Blake Shelton,2,2005,9,20,0,180577478,20/09/2005,Gwen Stefani Blake Shelton,1,2,2715,baixo,2616615,93,F,Major,63,93,88,1,0,12,4
7750995,505,1,2007,4,20,25,1217120710,20/04/2007,Arctic Monkeys,4,4,14603,alto,7750995,140,,Major,52,20,85,0,0,7,5
3126367,Viva La Vida,1,2008,1,1,62,1592909789,01/01/2008,Coldplay,3,4,38226,alto,3126367,138,F,Minor,49,42,62,9,0,11,3
8455676,Heartless,1,2008,1,1,34,887906111,01/01/2008,Kanye West,3,4,18882,alto,8455676,88,A#,Minor,79,66,65,5,0,25,14
6735267,Enchanted,1,2010,1,1,16,621660989,01/01/2010,Taylor Swift,34,3,4701,baixo,6735267,164,G#,Major,45,24,62,8,0,16,3
3766692,Danza Kuduro,2,2010,1,1,37,1279434863,01/01/2010,Don Omar Lucenzo,1,4,18231,alto,3766692,130,,Major,47,86,92,8,0,5,24
2008299,Just The Way You Are,1,2010,1,1,13,1641426668,01/01/2010,Bruno Mars,4,4,24134,alto,2008299,109,F,Major,63,46,85,1,0,9,5
5046895,Talking To The Moon,1,2010,10,4,2,1062956628,04/10/2010,Bruno Mars,4,4,7976,alto,5046895,146,C#,Minor,52,7,61,51,0,11,3
2237089,Rolling in the Deep,1,2010,11,29,6,1472799873,29/11/2010,Adele,4,4,42159,alto,2237089,105,G#,Major,73,52,76,13,0,5,3
3451143,Sure Thing,1,2010,5,25,19,950906471,25/05/2010,Miguel,1,4,14373,alto,3451143,81,B,Minor,68,51,60,3,0,19,10
6057014,Es un Secreto,1,2010,7,20,36,540654286,20/07/2010,Plan B,1,3,515,baixo,6057014,95,F#,Minor,84,52,77,12,0,7,4
3605651,Cant Hold Us feat Ray Dalton,3,2011,8,16,52,1953533826,16/08/2011,Ray Dalton Ryan Lewis Macklemore,1,4,12826,alto,3605651,146,D,Major,63,88,93,3,0,10,8
1216337,Summertime Sadness,1,2011,1,1,52,983637508,01/01/2011,Lana Del Rey,3,4,22054,alto,1216337,112,C#,Minor,56,24,66,7,0,12,3
4458161,Radio,1,2011,1,1,46,284819874,01/01/2011,Lana Del Rey,3,2,9695,baixo,4458161,150,D,Major,42,20,86,21,0,9,9
3780370,Somebody That I Used To Know,2,2011,1,1,0,1457139296,01/01/2011,Gotye Kimbra,1,4,49523,alto,3780370,129,,Major,86,75,52,54,0,10,4
5666047,Mistletoe,1,2011,1,1,0,629173063,01/01/2011,Justin Bieber,3,3,10082,baixo,5666047,162,F#,Minor,67,88,54,51,0,9,4
4242212,We Found Love,2,2011,1,1,21,1235005533,01/01/2011,Rihanna Calvin Harris,1,4,41771,alto,4242212,128,C#,Major,73,60,77,3,0,11,4
4350729,Set Fire to the Rain,1,2011,1,1,43,1163620694,01/01/2011,Adele,4,4,16990,alto,4350729,108,D,Minor,61,47,68,0,0,13,3
7921549,Bloody Mary,1,2011,1,1,0,372476382,01/01/2011,Lady Gaga,2,3,4252,baixo,7921549,100,A,Minor,59,49,65,2,0,13,3
7546342,Its Beginning To Look A Lot Like Christmas,1,2011,10,14,0,807561936,14/10/2011,Michael Bubl,2,4,12937,alto,7546342,93,E,Major,35,38,23,91,0,29,3
4319986,Holly Jolly Christmas,1,2011,10,14,0,476244795,14/10/2011,Michael Bubl,2,3,7951,baixo,4319986,151,G,Major,65,70,47,87,0,9,4
2391919,Another Love,1,2012,10,15,83,1813673666,15/10/2012,Tom Odell,1,4,22015,alto,2391919,123,E,Minor,45,13,54,70,0,9,4
3509026,When I Was Your Man,1,2012,12,5,11,1661187319,05/12/2012,Bruno Mars,4,4,3226,alto,3509026,145,,Major,60,43,27,94,0,14,4
3369956,Locked Out Of Heaven,1,2012,12,5,9,1481349984,05/12/2012,Bruno Mars,4,4,1978,alto,3369956,144,F,Major,73,87,70,6,0,28,5
8895699,Sweater Weather,1,2012,5,14,61,2282771485,14/05/2012,The Neighbourhood,3,4,17635,alto,8895699,124,A#,Major,61,41,81,5,2,10,3
8274842,MONTAGEM  FR PUNK,2,2012,6,20,50,58054811,20/06/2012,Ayparia unxbected,1,1,650,baixo,8274842,129,A,Major,63,84,82,70,8,9,7
8580552,Demons,1,2012,1,1,13,1840364617,01/01/2012,Imagine Dragons,3,4,30184,alto,8580552,180,D#,Major,33,38,71,20,0,28,5
1967014,Payphone,2,2012,1,1,4,1479264469,01/01/2012,Maroon 5 Wiz Khalifa,1,4,16090,alto,1967014,110,E,Major,74,51,74,2,0,29,4
3115886,Lost,1,2012,1,1,11,822239726,01/01/2012,Frank Ocean,2,4,30210,alto,3115886,123,A#,Minor,91,49,61,3,0,17,22
7811952,Money Trees,2,2012,1,1,32,1093605526,01/01/2012,Kendrick Lamar Jay Rock,1,4,27556,alto,7811952,144,E,Minor,74,37,53,7,0,21,10
1729982,Lover,1,2012,1,1,23,882831184,01/01/2012,Taylor Swift,34,4,8771,alto,1729982,206,G,Major,43,50,55,50,0,15,10
4722538,Thinking with My Dick,2,2013,7,16,0,109091573,16/07/2013,Kevin Gates Juicy J,1,1,1564,baixo,4722538,81,,Major,77,68,70,6,0,17,20
4152167,All of Me,1,2013,8,1,0,2086124197,01/08/2013,John Legend,1,4,32063,alto,4152167,120,G#,Major,42,33,26,92,0,13,3
8126826,Ginseng Strip 2002,1,2013,8,16,0,240769997,16/08/2013,Yung Lean,1,2,4436,baixo,8126826,115,C#,Major,60,37,71,8,0,48,4
7256696,Take Me To Church,1,2013,9,13,31,2135158446,13/09/2013,Hozier,1,4,28614,alto,7256696,129,E,Minor,57,41,66,63,0,12,5
3968436,Bound 2,1,2013,1,1,7,703301727,01/01/2013,Kanye West,3,4,20113,alto,3968436,149,C#,Major,37,28,66,14,0,9,5
7325433,Counting Stars,1,2013,1,1,43,2011464183,01/01/2013,OneRepublic,2,4,32788,alto,7325433,122,C#,Minor,66,48,71,6,0,12,4
5999455,Whyd You Only Call Me When Youre High,1,2013,1,1,29,1267333350,01/01/2013,Arctic Monkeys,4,4,24532,alto,5999455,92,D,Major,70,81,63,4,0,8,4
1406287,I Wanna Be Yours,1,2013,1,1,110,1297026226,01/01/2013,Arctic Monkeys,4,4,13465,alto,1406287,135,,Minor,48,44,42,12,2,11,3
7405938,Wake Me Up  Radio Edit,1,2013,1,1,34,1970673297,01/01/2013,Avicii,2,4,57486,alto,7405938,124,D,Major,53,66,78,0,0,16,5
2664577,Do I Wanna Know,1,2013,1,1,26,1788326445,01/01/2013,Arctic Monkeys,4,4,36649,alto,2664577,85,F,Major,55,42,53,17,0,22,3
5906167,Get Lucky  Radio Edit,3,2013,1,1,0,933815613,01/01/2013,Pharrell Williams Nile Rodgers Daft Punk,1,4,61316,alto,5906167,116,F#,Minor,79,87,81,4,0,10,4
4278371,Underneath the Tree,1,2013,10,25,0,485285717,25/10/2013,Kelly Clarkson,1,3,6991,baixo,4278371,160,G#,Major,51,69,81,0,0,21,5
1236328,Santa Tell Me,1,2013,12,13,0,834129063,13/12/2013,Ariana Grande,2,4,10078,alto,1236328,133,G,Major,46,53,63,5,0,30,18
4795987,Night Changes,1,2014,11,17,18,1131090940,17/11/2014,One Direction,1,4,7186,alto,4795987,120,G#,Major,67,40,52,86,0,12,4
8584244,I Love You So,1,2014,11,28,7,972164968,28/11/2014,The Walters,1,4,7715,alto,8584244,76,A#,Major,58,46,67,65,0,13,4
8189388,No Role Modelz,1,2014,12,9,36,1791000570,09/12/2014,J Cole,1,4,21720,alto,8189388,100,A#,Minor,70,47,52,30,0,6,33
8987545,Lovers Rock,1,2014,6,5,13,466231982,05/06/2014,TV Girl,1,3,6378,baixo,8987545,105,F,Minor,56,57,87,0,1,10,4
5324238,Photograph,1,2014,6,20,3,2236667932,20/06/2014,Ed Sheeran,9,4,21459,alto,5324238,108,E,Major,61,20,38,61,0,10,5
4635311,After Dark,1,2014,8,8,14,646886885,08/08/2014,MrKitty,1,3,1780,baixo,4635311,140,G#,Major,58,4,60,7,41,8,3
3181974,Thinking Out Loud,1,2014,1,1,0,2280566092,01/01/2014,Ed Sheeran,9,4,37290,alto,3181974,79,D,Major,78,58,45,47,0,18,3
3921634,Blank Space,1,2014,1,1,53,1355959075,01/01/2014,Taylor Swift,34,4,11998,alto,3921634,96,F,Major,75,57,68,9,0,13,6
2031309,Shake It Off,1,2014,1,1,13,1113838873,01/01/2014,Taylor Swift,34,4,23041,alto,2031309,160,G,Major,65,95,80,5,0,41,16
1776310,Im Not The Only One,1,2014,1,1,3,1606986953,01/01/2014,Sam Smith,1,4,19587,alto,1776310,82,F,Major,68,50,49,56,0,8,4
4796316,Style,1,2014,1,1,42,786181836,01/01/2014,Taylor Swift,34,4,8075,alto,4796316,95,D,Major,60,48,79,0,0,12,4
2061482,Only Love Can Hurt Like This,1,2014,1,1,0,588955257,01/01/2014,Paloma Faith,1,3,5603,baixo,2061482,91,G#,Major,57,30,89,10,0,33,8
7456153,The Nights,1,2014,1,1,8,1456081449,01/01/2014,Avicii,2,4,18728,alto,7456153,126,F#,Major,53,66,85,2,0,24,4
6950436,Alien Blues,1,2015,7,24,0,370068639,24/07/2015,Vundabar,1,3,1961,baixo,6950436,82,D#,Major,47,44,76,8,91,9,3
4765423,Space Song,1,2015,1,1,4,789753877,01/01/2015,Beach House,1,4,18256,alto,4765423,147,,Minor,51,62,79,22,13,14,3
1904373,Cool for the Summer,1,2015,1,1,0,677389855,01/01/2015,Demi Lovato,1,4,9975,alto,1904373,114,F,Minor,59,30,62,1,0,8,4
7792660,Wait a Minute,1,2015,1,11,0,924193303,11/01/2015,Willow,1,4,12314,alto,7792660,101,D#,Minor,76,63,71,3,0,10,3
1630789,The Night We Met,1,2015,2,2,35,1410088830,02/02/2015,Lord Huron,1,4,19524,alto,1630789,174,D,Major,45,10,37,97,25,64,4
2634614,Daddy Issues,1,2015,10,30,4,1127468248,30/10/2015,The Neighbourhood,3,4,10197,alto,2634614,85,A#,Major,59,33,52,7,15,12,3
2188178,Love Yourself,1,2015,11,9,5,2123309722,09/11/2015,Justin Bieber,3,4,25449,alto,2188178,100,E,Major,61,53,38,84,0,28,44
1168222,Atlantis,1,2015,4,22,6,571386359,22/04/2015,Seafret,1,3,3222,baixo,1168222,166,G#,Minor,40,23,48,5,0,12,3
7435337,Freaks,1,2015,5,10,3,824420218,10/05/2015,Surf Curse,1,4,3150,alto,7435337,180,A,Major,35,41,94,0,63,5,5
6380084,The Hills,1,2015,5,27,4,1947371785,27/05/2015,The Weeknd,21,4,27858,alto,6380084,136,,Minor,36,12,57,9,0,14,8
7159285,Makeba,1,2015,6,22,53,165484133,22/06/2015,Jain,1,2,8913,baixo,7159285,116,D,Major,82,40,66,39,51,25,7
3872585,Pope Is a Rockstar,1,2016,4,20,0,156658366,20/04/2016,SALES,1,2,2020,baixo,3872585,90,E,Minor,73,31,45,85,24,11,3
5831523,Closer,2,2016,5,31,0,2591224264,31/05/2016,The Chainsmokers Halsey,1,4,30526,alto,5831523,95,G#,Major,75,64,52,41,0,11,3
3210546,Selfish,1,2016,6,23,0,380319238,23/06/2016,PnB Rock,1,3,2483,baixo,3210546,102,C#,Minor,64,4,60,11,0,19,4
1992045,Notion,1,2016,8,5,0,421135627,05/08/2016,The Rare Occasions,1,3,2480,baixo,1992045,160,A,Major,31,30,88,7,0,8,8
8897005,Pink  White,1,2016,8,20,30,806397070,20/08/2016,Frank Ocean,2,4,21952,alto,8897005,160,A,Major,54,54,55,67,0,42,11
7587856,Say You Wont Let Go,1,2016,9,9,16,2420461338,09/09/2016,James Arthur,2,4,17462,alto,7587856,99,A#,Major,40,45,56,69,0,9,5
4367298,Starboy,2,2016,9,21,79,2565529693,21/09/2016,The Weeknd Daft Punk,1,4,32262,alto,4367298,186,G,Major,68,49,59,16,0,13,28
4096612,Theres Nothing Holdin Me Back,1,2016,9,23,0,1714490998,23/09/2016,Shawn Mendes,3,4,13981,alto,4096612,122,D,Major,86,97,80,36,0,9,6
7498965,House Of Memories,1,2016,1,15,0,582863434,15/01/2016,Panic At The Disco,1,3,3108,baixo,7498965,110,B,Minor,51,48,82,0,0,5,3
8292846,Hey Mickey,1,2016,9,27,0,122763672,27/09/2016,Baby Tate,1,1,503,baixo,8292846,135,D,Major,92,73,51,55,0,15,6
8213022,Unstoppable,1,2016,1,21,13,939844851,21/01/2016,Sia,2,4,8945,alto,8213022,174,A,Major,47,27,78,11,0,10,8
5300224,Sex Drugs Etc,1,2016,11,4,16,480507035,04/11/2016,Beach Weather,1,3,3140,baixo,5300224,144,E,Minor,57,47,84,1,1,52,4
4944285,Me and Your Mama,1,2016,11,10,0,445590495,10/11/2016,Childish Gambino,1,3,8915,baixo,4944285,118,F,Major,56,25,45,1,3,7,3
3612400,No Lie,2,2016,11,18,0,956865266,18/11/2016,Sean Paul Dua Lipa,1,4,8681,alto,3612400,102,G,Major,74,45,89,5,0,26,13
7476887,Die For You,1,2016,11,24,59,1647990401,24/11/2016,The Weeknd,21,4,2575,alto,7476887,134,C#,Minor,59,51,52,9,0,15,7
7910702,Stargirl Interlude,2,2016,11,24,32,611700552,24/11/2016,The Weeknd Lana Del Rey,1,3,1293,baixo,7910702,90,F,Minor,59,52,48,38,5,10,11
6320673,Reminder,1,2016,11,25,17,684675814,25/11/2016,The Weeknd,21,4,6801,alto,6320673,160,G#,Major,71,40,50,16,0,16,22
1928790,One Dance,3,2016,4,4,24,2713922350,04/04/2016,Drake WizKid Kyla,1,4,47321,alto,1928790,104,C#,Major,77,36,63,1,0,36,5
3253565,Perfect,1,2017,1,1,13,2559529074,01/01/2017,Ed Sheeran,9,4,18697,alto,3253565,95,G#,Major,60,17,45,16,0,11,2
2886961,Snowman,1,2017,1,1,0,690104769,01/01/2017,Sia,2,4,5725,alto,2886961,105,C#,Major,72,33,51,48,0,9,3
4299313,Shape of You,1,2017,1,6,10,3562543890,06/01/2017,Ed Sheeran,9,4,39022,alto,4299313,96,C#,Minor,83,93,65,58,0,9,8
1386091,Swim,1,2017,10,4,0,498960285,04/10/2017,Chase Atlantic,1,3,2809,baixo,1386091,120,G#,Major,67,8,54,27,0,8,4
4181228,Believer,1,2017,1,31,23,2594040133,31/01/2017,Imagine Dragons,3,4,22205,alto,4181228,125,A#,Minor,77,74,78,4,0,23,11
4824782,Good Looking,1,2017,10,20,0,184706613,20/10/2017,Suki Waterhouse,1,2,2300,baixo,4824782,150,E,Major,37,27,56,8,0,13,3
1014962,Dark Red,1,2017,2,20,7,920045682,20/02/2017,Steve Lacy,3,4,10683,alto,1014962,172,F#,Major,60,77,78,45,0,12,6
6523480,Something Just Like This,2,2017,2,22,21,2204080728,22/02/2017,The Chainsmokers Coldplay,1,4,26403,alto,6523480,103,B,Minor,61,47,65,3,0,17,4
5821993,Dont Bl,1,2017,11,8,23,685032533,08/11/2017,Taylor Swift,34,4,4894,alto,5821993,136,A,Minor,62,19,53,11,0,6,4
7387090,Merry Christmas,2,2017,11,10,0,135723538,10/11/2017,Ed Sheeran Elton John,1,1,2422,baixo,7387090,114,,Major,59,60,94,24,0,10,4
8797570,Cold Heart  PNAU Remix,3,2017,11,10,52,1605224506,10/11/2017,Dua Lipa Elton John Pnau,1,4,22515,alto,8797570,116,C#,Major,80,92,80,4,0,10,3
1346774,Hold Me Closer,2,2017,11,10,0,284216603,10/11/2017,Elton John Britney Spears,1,2,5309,baixo,1346774,126,,Major,67,49,77,11,0,19,11
1323431,Apocalypse,1,2017,3,21,17,841749534,21/03/2017,Cigarettes After Sex,1,4,13942,alto,1323431,94,F,Major,37,17,47,2,46,11,3
2052397,Beggin,1,2017,12,8,0,1367810478,08/12/2017,Mne,4,4,9706,alto,2052397,134,B,Minor,71,59,80,13,0,36,5
5223297,HUMBLE,1,2017,3,30,1,1929770265,30/03/2017,Kendrick Lamar,12,4,34971,alto,5223297,150,C#,Minor,91,42,60,0,0,9,12
4131863,Bored,1,2017,3,30,0,777765388,30/03/2017,Billie Eilish,5,4,4493,alto,4131863,120,G,Major,60,11,33,90,0,8,5
4495422,Dandelions,1,2017,4,28,21,1116995633,28/04/2017,Ruth B,1,4,3523,alto,4495422,117,C#,Major,61,45,69,2,0,9,3
